Format    IsDefaultVersion    LifecycleStatus     MaxCapacity    Name                          Version
--------  ------------------  ------------------  -------------  ----------------------------  ----------------
OpenAI    True                GenerallyAvailable  2              dall-e-3                      3.0
OpenAI    True                GenerallyAvailable  9999           tts                           001
OpenAI    True                GenerallyAvailable  9999           tts-hd                        001
OpenAI    True                GenerallyAvailable  9999           whisper                       001
OpenAI    False               Deprecated          9              gpt-35-turbo                  0613
OpenAI    False               GenerallyAvailable  9              gpt-35-turbo                  1106
OpenAI    True                GenerallyAvailable  9              gpt-35-turbo                  0125
OpenAI    True                GenerallyAvailable  9              gpt-35-turbo-instruct         0914
OpenAI    True                Deprecated          9              gpt-35-turbo-16k              0613
OpenAI    False               Deprecated          3              gpt-4                         0125-Preview
OpenAI    False               Deprecated          3              gpt-4                         1106-Preview
OpenAI    True                Deprecated          3              gpt-4                         0613
OpenAI    True                Deprecated          3              gpt-4-32k                     0613
OpenAI    False               Deprecated          3              gpt-4                         vision-preview
OpenAI    False               GenerallyAvailable  3              gpt-4                         turbo-2024-04-09
OpenAI    False               GenerallyAvailable  3              gpt-4o                        2024-05-13
OpenAI    True                GenerallyAvailable  3              gpt-4o                        2024-08-06
OpenAI    True                GenerallyAvailable  3              gpt-4o-mini                   2024-07-18
OpenAI    False               GenerallyAvailable  3              gpt-4o                        2024-11-20
OpenAI    False               Preview             3              gpt-4o-mini-realtime-preview  2024-12-17
OpenAI    False               Preview             3              gpt-4o-realtime-preview       2024-12-17
OpenAI    False               Preview             3              gpt-4o-realtime-preview       2025-06-03
OpenAI    False               Preview             3              gpt-4o-audio-preview          2024-12-17
OpenAI    True                Preview             3              gpt-4o-transcribe             2025-03-20
OpenAI    True                Preview             3              gpt-4o-mini-transcribe        2025-03-20
OpenAI    True                GenerallyAvailable  3              gpt-4.1                       2025-04-14
OpenAI    True                GenerallyAvailable  3              gpt-4.1-mini                  2025-04-14
OpenAI    True                GenerallyAvailable  3              gpt-4.1-nano                  2025-04-14
OpenAI    False               GenerallyAvailable  3              gpt-5-mini                    2025-08-07
OpenAI    False               GenerallyAvailable  3              gpt-5-nano                    2025-08-07
OpenAI    False               Preview             3              gpt-5-chat                    2025-08-07
OpenAI    False               GenerallyAvailable  3              o1-mini                       2024-09-12
OpenAI    False               GenerallyAvailable  3              o1                            2024-12-17
OpenAI    True                GenerallyAvailable  3              o3-mini                       2025-01-31
OpenAI    True                GenerallyAvailable  3              o4-mini                       2025-04-16
OpenAI    False               Deprecated          3              ada                           1
OpenAI    True                GenerallyAvailable  3              text-embedding-ada-002        2
OpenAI    False               Deprecated          3              babbage                       1
OpenAI    False               Deprecated          3              babbage-002                   1
OpenAI    False               Deprecated          3              curie                         1
OpenAI    False               Deprecated          3              davinci                       1
OpenAI    False               Deprecated          3              davinci-002                   1
OpenAI    True                GenerallyAvailable  3              text-embedding-3-small        1
OpenAI    True                GenerallyAvailable  3              text-embedding-3-large        1
OpenAI    False               Preview             3              model-router                  2025-05-19
OpenAI    True                Preview             3              model-router                  2025-08-07
OpenAI    False               GenerallyAvailable  3              codex-mini                    2025-05-16
OpenAI    True                Preview             9999           sora                          2025-05-02
OpenAI    False               GenerallyAvailable  3              gpt-audio                     2025-08-28
OpenAI    False               GenerallyAvailable  3              gpt-realtime                  2025-08-28
